date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:26	66446/66446	---M--	200	added ('OK')	audio/mpeg	etag:%223f00e61-1038e-54d155566b680%22	http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/spring.mp3	E:/Blair/Blair/www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/spring.mp3	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:09:29	20061/20061	---M--	200	added ('OK')	image/jpeg	etag:%223f01ea9-4e5d-54d15441daa00%22	http://www.blairenglish.com/images/photos/geo-photos/pond.jpg	E:/Blair/Blair/www.blairenglish.com/images/photos/geo-photos/pond.jpg	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:09:32	59378/59378	---M--	200	added ('OK')	audio/ogg	etag:%223f00e5e-e7f2-54d155566b680%22	http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/reservoir.ogg	E:/Blair/Blair/www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/reservoir.ogg	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:09:36	19321/19321	---M--	200	added ('OK')	image/jpeg	etag:%223f01eb0-4b79-54d15441daa00%22	http://www.blairenglish.com/images/photos/geo-photos/stream.jpg	E:/Blair/Blair/www.blairenglish.com/images/photos/geo-photos/stream.jpg	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:09:36	94449/94449	---M--	200	added ('OK')	audio/mpeg	etag:%223f00e5d-170f1-54d155566b680%22	http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/reservoir.mp3	E:/Blair/Blair/www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/reservoir.mp3	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:09:36	42057/42057	---M--	200	added ('OK')	audio/ogg	etag:%223f00e5a-a449-54d155566b680%22	http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/pond.ogg	E:/Blair/Blair/www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/pond.ogg	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:09:36	66864/66864	---M--	200	added ('OK')	audio/mpeg	etag:%223f00e59-10530-54d155566b680%22	http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/pond.mp3	E:/Blair/Blair/www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/pond.mp3	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:09:41	17429/17429	---M--	200	added ('OK')	image/jpeg	etag:%223f01ea1-4415-54d15441daa00%22	http://www.blairenglish.com/images/photos/geo-photos/cliffs.jpg	E:/Blair/Blair/www.blairenglish.com/images/photos/geo-photos/cliffs.jpg	(from http://www.blairenglish.com/exercises/geographical-english/exercises/coastal-landforms-sea/coastal-landforms-sea.html)
14:09:43	43901/43901	---M--	200	added ('OK')	audio/ogg	etag:%223f00e64-ab7d-54d155566b680%22	http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/stream.ogg	E:/Blair/Blair/www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/stream.ogg	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:09:43	71879/71879	---M--	200	added ('OK')	audio/mpeg	etag:%223f00e63-118c7-54d155566b680%22	http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/stream.mp3	E:/Blair/Blair/www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/pronunciation/stream.mp3	(from http://www.blairenglish.com/exercises/geographical-english/exercises/water-landforms/water-landforms.html)
14:09:46	13896/13896	---M--	200	added ('OK')	image/jpeg	etag:%223f01ea4-3648-54d15441daa00%22	http://www.blairenglish.com/images/photos/geo-photos/dunes.jpg	E:/Blair/Blair/www.blairenglish.com/images/photos/geo-photos/dunes.jpg	(from http://www.blairenglish.com/exercises/geographical-english/exercises/coastal-landforms-sea/coastal-landforms-sea.html)
14:09:47	40910/40910	---M--	200	added ('OK')	audio/ogg	etag:%223f00dfb-9fce-54d155566b680%22	http://www.blairenglish.com/exercises/geographical-english/exercises/coastal-landforms-sea/pronunciation/cliffs.ogg	E:/Blair/Blair/www.blairenglish.com/exercises/geographical-english/exercises/coastal-landforms-sea/pronunciation/cliffs.ogg	(from http://www.blairenglish.com/exercises/geographical-english/exercises/coastal-landforms-sea/coastal-landforms-sea.html)
